PLAYER,NATIONALITY,TYPE,BASE PRICE
Priyansh Arya,Indian,Batter,2000000
Rohan Kunnummal,Indian,Batter,2000000
Manan Vohra,Indian,Batter,2000000
Raj Angad Bawa,Indian,All-Rounder,2000000
Sarfaraz Khan,Indian,All-Rounder,2000000
Vivrant Sharma,Indian,All-Rounder,2000000
Atit Sheth,Indian,All-Rounder,2000000
Hrithik Shokeen,Indian,All-Rounder,2000000
Urvil Patel,Indian,Wicket-Keeper,2000000
Vishnu Solanki,Indian,Wicket-Keeper,2000000
Ishan Porel,Indian,Bowler,2000000
Kuldip Yadav,Indian,Bowler,2000000
Murgan Ashwin,Indian,Bowler,2000000
Pulkit Narang,Indian,Bowler,2000000
Shiva Singh,Indian,Bowler,2000000
Dinesh Bana,Indian,Batter,2000000
Rajat Dey,Indian,Batter,2000000
Abhimanyu Easwaran,Indian,Batter,2000000
Rithik Easwaran,Indian,Batter,2000000
Chirag Gandhi,Indian,Batter,2000000
Nikhil Gangta,Indian,Batter,2000000
Sudip Gharami,Indian,Batter,2000000
Ansh Gosai,Indian,Batter,2000000
Azim Kazi,Indian,Batter,2000000
Amandeep Khare,Indian,Batter,2000000
Ankit Kumar,Indian,Batter,2000000
Bhupen Lalwani,Indian,Batter,2000000
Pukhraj Mann,Indian,Batter,2000000
Tanmay Mishra,Indian,Batter,2000000
Salman Nizar,Indian,Batter,2000000
Priyank Panchal,Indian,Batter,2000000
Akshat Raghuwanshi,Indian,Batter,2000000
Ekant Sen,Indian,Batter,2000000
Subhranshu Senapati,Indian,Batter,2000000
Naushad Shaikh,Indian,Batter,2000000
Dhruv Shorey,Indian,Batter,2000000
Himmat Singh,Indian,Batter,2000000
Virat Singh,Indian,Batter,2000000
Sumeet Verma,Indian,Batter,2000000
P.A. Abdul,Indian,All-Rounder,2000000
Murugan Abhishek,Indian,All-Rounder,2000000
Atharva Ankolekar,Indian,All-Rounder,2000000
Baba Aparajith,Indian,All-Rounder,2000000
Jass Inder Baidwan,Indian,All-Rounder,2000000
Rahul Buddhi,Indian,All-Rounder,2000000
Vaisakh Chandran,Indian,All-Rounder,2000000
Writtick Chatterjee,Indian,All-Rounder,2000000
Raj Chaudhary,Indian,All-Rounder,2000000
Ravi Chauhan,Indian,All-Rounder,2000000
Ashwin Das,Indian,All-Rounder,2000000
Aarya Desai,Indian,All-Rounder,2000000
Vineet Dhankhar,Indian,All-Rounder,2000000
Harsh Dubey,Indian,All-Rounder,2000000
Prerit Dutta,Indian,All-Rounder,2000000
Shubhang Hegde,Indian,All-Rounder,2000000
Saransh Jain,Indian,All-Rounder,2000000
Mohammad Kaif,Indian,All-Rounder,2000000
Aman Khan,Indian,All-Rounder,2000000
Mohd Arslan Khan,Indian,All-Rounder,2000000
Musheer Khan,Indian,All-Rounder,2000000
Tanush Kotian,Indian,All-Rounder,2000000
Manvanth Kumar,Indian,All-Rounder,2000000
Saurabh Kumar,Indian,All-Rounder,2000000
Dev Lakra,Indian,All-Rounder,2000000
Nasir Lone,Indian,All-Rounder,2000000
Kaushik Maity,Indian,All-Rounder,2000000
Divij Mehra,Indian,All-Rounder,2000000
Mani Sankar Mura Singh,Indian,All-Rounder,2000000
Sanjay Pahal,Indian,All-Rounder,2000000
Jitender Pal,Indian,All-Rounder,2000000
Saumy Pandey,Indian,All-Rounder,2000000
Ansh Patel,Indian,All-Rounder,2000000
Sairaj Patil,Indian,All-Rounder,2000000
Pradosh Paul,Indian,All-Rounder,2000000
Shubham Singh Pundir,Indian,All-Rounder,2000000
Atal Rai,Indian,All-Rounder,2000000
Abhimanyusingh Rajput,Indian,All-Rounder,2000000
Mohit Rathee,Indian,All-Rounder,2000000
Ninad Rathva,Indian,All-Rounder,2000000
Rohit Rayudu,Indian,All-Rounder,2000000
Aniketh Reddy,Indian,All-Rounder,2000000
Mohit Redkar,Indian,All-Rounder,2000000
Akash Sengupta,Indian,All-Rounder,2000000
Suryansh Shedge,Indian,All-Rounder,2000000
Aradhya Shukla,Indian,All-Rounder,2000000
Utkarsh Singh,Indian,All-Rounder,2000000
Shashank Singh,Indian,All-Rounder,2000000
Ravi Teja,Indian,All-Rounder,2000000
Akash Vashisht,Indian,All-Rounder,2000000
Mohit Ahlawat,Indian,Wicket-Keeper,2000000
G. Ajitesh,Indian,Wicket-Keeper,2000000
L.R. Chethan,Indian,Wicket-Keeper,2000000
Gourav Choudhary,Indian,Wicket-Keeper,2000000
Harvik Desai,Indian,Wicket-Keeper,2000000
Shakir Gandhi,Indian,Wicket-Keeper,2000000
Sumit Ghadigaonkar,Indian,Wicket-Keeper,2000000
Baba Indrajith,Indian,Wicket-Keeper,2000000
Bhagmender Lather,Indian,Wicket-Keeper,2000000
Anmol Malhotra,Indian,Wicket-Keeper,2000000
Darshan Misal,Indian,Wicket-Keeper,2000000
Nikhil Naik,Indian,Wicket-Keeper,2000000
Prasad Pawar,Indian,Wicket-Keeper,2000000
Mahesh Pithiya,Indian,Wicket-Keeper,2000000
Bipin Saurabh,Indian,Wicket-Keeper,2000000
B.R. Sharath,Indian,Wicket-Keeper,2000000
K.L. Shrijith,Indian,Wicket-Keeper,2000000
Avneesh Sudha,Indian,Wicket-Keeper,2000000
Aditya Tare,Indian,Wicket-Keeper,2000000
Nihal Ullal,Indian,Wicket-Keeper,2000000
K.M Asif,Indian,Bowler,2000000
Mohit Avasthi,Indian,Bowler,2000000
Basit Bashir,Indian,Bowler,2000000
Waseem Bashir,Indian,Bowler,2000000
Sachin Bhosale,Indian,Bowler,2000000
Devendra Singh Bora,Indian,Bowler,2000000
Gurnoor Singh Brar,Indian,Bowler,2000000
Saurabh Dubey,Indian,Bowler,2000000
Mrinmoy Dutta,Indian,Bowler,2000000
Vishal Godara,Indian,Bowler,2000000
Money Grewal,Indian,Bowler,2000000
Arpit Guleria,Indian,Bowler,2000000
Mukhtar Hussain,Indian,Bowler,2000000
Mohammed Kaif,Indian,Bowler,2000000
Shubham Kapse,Indian,Bowler,2000000
Devang Karamta,Indian,Bowler,2000000
Kulwant Khejroliya,Indian,Bowler,2000000
Ravi Kumar,Indian,Bowler,2000000
Ashwani Kumar,Indian,Bowler,2000000
Raj Limbani,Indian,Bowler,2000000
Lukman Hussain Meriwala,Indian,Bowler,2000000
Venkatesh Muralidhara,Indian,Bowler,2000000
Rakshan Readdi,Indian,Bowler,2000000
Manish Reddy,Indian,Bowler,2000000
Monish Reddy,Indian,Bowler,2000000
Akhin Sathar,Indian,Bowler,2000000
Divesh Sharma,Indian,Bowler,2000000
Ashok Sharma,Indian,Bowler,2000000
Abhilash Shetty,Indian,Bowler,2000000
Rahul Shukla,Indian,Bowler,2000000
Manit Singh,Indian,Bowler,2000000
Gurjapneet Singh,Indian,Bowler,2000000
Nitin Verma,Indian,Bowler,2000000
Gourav Yadav,Indian,Bowler,2000000
Prithvi Raj Yarra,Indian,Bowler,2000000
Mujtaba Yousuf,Indian,Bowler,2000000
Shubham Agrawal,Indian,Bowler,2000000
Mustaq Beg,Indian,Bowler,2000000
K.C Cariappa,Indian,Bowler,2000000
Ganesh Chaudhary,Indian,Bowler,2000000
Yuvraj Chudasama,Indian,Bowler,2000000
Jasmer Dhankhar,Indian,Bowler,2000000
Chintal Gandhi,Indian,Bowler,2000000
Raghav Goyal,Indian,Bowler,2000000
Shreyas Gurav,Indian,Bowler,2000000
Vishu Kashyap,Indian,Bowler,2000000
Bhuwan Rohilla,Indian,Bowler,2000000
Shivam Sharma,Indian,Bowler,2000000
Digvesh Singh,Indian,Bowler,2000000
Jagadeesha Suchith,Indian,Bowler,2000000
B. Surya,Indian,Bowler,2000000
Pankaj Yadav,Indian,Bowler,2000000
Sahil Dhiwan,Indian,All-Rounder,2000000
Kaushal Tambe,Indian,All-Rounder,2000000
Jake Fraser-Mcgurk,Overseas,All-Rounder,2000000
Duan Jansen,Overseas,All-Rounder,2000000
Prenelan Subrayen,Overseas,All-Rounder,2000000
William Salzmann,Overseas,Wicket-Keeper,2000000
Ottneil Baartman,Overseas,Bowler,2000000
Shamar Joseph,Overseas,Bowler,2000000
Kwena Maphaka,Overseas,Bowler,2000000
William O'Rourke,Overseas,Bowler,2000000
Paul Van Meekeren,Overseas,Bowler,2000000
Chris Wood,Overseas,Bowler,2000000
Allah Ghazanfar,Overseas,Bowler,2000000
Steve Smith,Overseas,Batter,20000000
Josh Inglis,Overseas,Wicket-Keeper,20000000
Josh Hazlewood,Overseas,Bowler,20000000
Adil Rashid,Overseas,Bowler,20000000
Rassie Van Der Dussen,Overseas,Batter,20000000
James Vince,Overseas,Batter,20000000
Sean Abbott,Overseas,All-Rounder,20000000
Jamie Overton,Overseas,All-Rounder,20000000
Ben Duckett,Overseas,Wicket-Keeper,20000000
Philip Salt,Overseas,Wicket-Keeper,15000000
Colin Munro,Overseas,Batter,15000000
Jason Holder,Overseas,All-Rounder,15000000
James Neesham,Overseas,All-Rounder,15000000
Daniel Sams,Overseas,All-Rounder,15000000
Chris Jordan,Overseas,Bowler,15000000
Tymal Mills,Overseas,Bowler,15000000
Tim Southee,Overseas,Bowler,15000000
Ashton Agar,Overseas,All-Rounder,10000000
Michael Bracewell,Overseas,All-Rounder,10000000
Dwaine Pretorius,Overseas,All-Rounder,10000000
Sam Billings,Overseas,Wicket-Keeper,10000000
Kyle Jamieson,Overseas,Bowler,10000000
Riley Meredith,Overseas,Bowler,10000000
Adam Milne,Overseas,Bowler,10000000
Wayne Parnell,Overseas,Bowler,10000000
David Wiese,Overseas,All-Rounder,10000000
Ish Sodhi,Overseas,Bowler,7500000
Finn Allen,Overseas,Batter,7500000
Fabian Allen,Overseas,All-Rounder,7500000
Keemo Paul,Overseas,All-Rounder,7500000
Matt Henry,Overseas,Bowler,7500000
Lance Morris,Overseas,Bowler,7500000
Ollie Robinson,Overseas,Bowler,7500000
Billy Stanlake,Overseas,Bowler,7500000
Olly Stone,Overseas,Bowler,7500000
Karun Nair,Indian,Batter,5000000
Kusal Mendis,Overseas,Wicket-Keeper,5000000
Akeal Hosein,Overseas,Bowler,5000000
Mohammad Waqar Salamkheil,Overseas,Bowler,5000000
Tabraiz Shamsi,Overseas,Bowler,5000000
Alick Athanaze,Overseas,Batter,5000000
Mark Chapman,Overseas,Batter,5000000
Samuel Hain,Overseas,Batter,5000000
Reeza Hendricks,Overseas,Batter,5000000
Brandon King,Overseas,Batter,5000000
Ibrahim Zadran,Overseas,Batter,5000000
Najibullah Zadran,Overseas,Batter,5000000
Wesley Agar,Overseas,All-Rounder,5000000
Qais Ahamad,Overseas,All-Rounder,5000000
Charith Asalanka,Overseas,All-Rounder,5000000
Brydon Carse,Overseas,All-Rounder,5000000
Ben Cutting,Overseas,All-Rounder,5000000
Matthew Forde,Overseas,All-Rounder,5000000
George Garton,Overseas,All-Rounder,5000000
George Linde,Overseas,All-Rounder,5000000
Keshav Maharaj,Overseas,All-Rounder,5000000
Wiaan Mulder,Overseas,All-Rounder,5000000
Dasun Shanaka,Overseas,All-Rounder,5000000
Matthew Short,Overseas,All-Rounder,5000000
Odean Smith,Overseas,All-Rounder,5000000
Hanuma Vihari,Indian,All-Rounder,5000000
Johnson Charles,Overseas,Wicket-Keeper,5000000
Varun Aaron,Indian,Bowler,5000000
Fareed Ahmad,Overseas,Bowler,5000000
Dushmanta Chameera,Overseas,Bowler,5000000
Ben Dwarshuis,Overseas,Bowler,5000000
Richard Gleeson,Overseas,Bowler,5000000
Siddharth Kaul,Indian,Bowler,5000000
Lahiru Kumara,Overseas,Bowler,5000000
Obed Mccoy,Overseas,Bowler,5000000
Blessing Muzarabani,Overseas,Bowler,5000000
Richard Ngarava,Overseas,Bowler,5000000
George Scrimshaw,Overseas,Bowler,5000000
Barinder Sran,Indian,Bowler,5000000
Oshane Thomas,Overseas,Bowler,5000000
Sandeep Warrier,Indian,Bowler,5000000
Lizaad Williams,Overseas,Bowler,5000000
Luke Wood,Overseas,Bowler,5000000
Benny Howell,Overseas,All-Rounder,4000000
Jalaj Saxena,Indian,All-Rounder,4000000
Corbin Bosch,Overseas,All-Rounder,3000000
Kamlesh Nagarkoti,Indian,All-Rounder,3000000
Basil Thampi,Indian,Bowler,3000000
